DriverNumber,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,TrackStatus,IsPersonalBest,IsAccurate,RaceNumber,Year,EventName,LapTime_RollingMean,LapTime_RollingStd,LapTime_CV,S1_Ratio,S2_Ratio,S3_Ratio,S1_Ratio_Std,S2_Ratio_Std,S3_Ratio_Std,SectorInconsistency_Score,LapInStint,StintProgress_Pct,LapTimeDelta_FromStintStart,FastestLap_Race,DeltaToFastest,PersonalBest,DeltaToPersonalBest,IsDegraded
23,ALB,3.0,98.507,31.002,43.081,24.424,SOFT,3.0,1.0,1,True,True,1,2024,Bahrain Grand Prix,98.6665,0.22556706319850048,0.0022861565293032637,0.314718750951709,0.43733947841270165,0.24794177063558934,0.0022653283889777537,0.0008193361285153333,0.0014459922604623712,0.0015102189259851527,2,0.15384615384615385,-0.3189999999999884,92.608,5.899000000000001,95.723,2.784000000000006,0
23,ALB,4.0,98.422,31.023,43.007,24.392,SOFT,4.0,1.0,1,True,True,1,2024,Bahrain Grand Prix,98.585,0.21299530511257267,0.002160524472410333,0.3152039178232509,0.4369653126333543,0.24783076954339478,0.0017267023986190196,0.0005913463280363591,0.0011499445923638767,0.0011559977730064184,3,0.23076923076923078,-0.40399999999999636,92.608,5.813999999999993,95.723,2.698999999999998,0
23,ALB,5.0,98.509,31.049,43.027,24.433,SOFT,5.0,1.0,1,False,True,1,2024,Bahrain Grand Prix,98.566,0.17801310813157895,0.0018060295449909597,0.31518947507334355,0.43678242597123107,0.24802809895542538,0.0014600149865443407,0.0004833819390911418,0.0010215567969614973,0.0009883179075323267,4,0.3076923076923077,-0.31699999999999307,92.608,5.900999999999996,95.723,2.7860000000000014,0
23,ALB,6.0,98.575,31.034,43.141,24.4,SOFT,6.0,1.0,1,False,True,1,2024,Bahrain Grand Prix,98.5678,0.15421640639049694,0.0015645718621141685,0.31482627441034744,0.43764646208470703,0.24752726350494544,0.001331387727207741,0.0005593270711050054,0.0008858900926163284,0.0009255349636430249,5,0.38461538461538464,-0.25099999999999056,92.608,5.966999999999999,95.723,2.852000000000004,0
23,ALB,7.0,98.971,31.498,43.186,24.287,SOFT,7.0,1.0,1,False,True,1,2024,Bahrain Grand Prix,98.5968,0.2161184860209802,0.00219194219306286,0.31825484232755047,0.43635004193147486,0.2453951157409746,0.0014782913137013683,0.0005006855649021792,0.0011061192574900768,0.0010283653786978748,6,0.46153846153846156,0.14500000000001023,92.608,6.3629999999999995,95.723,3.2480000000000047,0
23,ALB,8.0,98.66,31.493,42.899,24.268,SOFT,8.0,1.0,1,False,True,1,2024,Bahrain Grand Prix,98.6274,0.210995971525527,0.002139324077543634,0.31920737887695116,0.4348165416582202,0.24597607946482872,0.0020372418384630754,0.001056697219259735,0.001187166903872014,0.0014270353205316083,7,0.5384615384615384,-0.16599999999999682,92.608,6.0519999999999925,95.723,2.9369999999999976,0
23,ALB,9.0,98.652,31.458,42.976,24.218,SOFT,9.0,1.0,1,False,True,1,2024,Bahrain Grand Prix,98.6734,0.17742125013650786,0.0017980656401472724,0.31887848193650403,0.4356323237237968,0.24548919433969915,0.0020982692786997077,0.0010816446213518247,0.0012151056761836138,0.0014650065254117155,8,0.6153846153846154,-0.17399999999999238,92.608,6.043999999999997,95.723,2.929000000000002,0
23,ALB,10.0,98.952,31.624,42.955,24.373,SOFT,10.0,1.0,12,False,True,1,2024,Bahrain Grand Prix,98.762,0.18523903476319717,0.0018756104044389255,0.31958929582019563,0.434099361306492,0.24631134287331233,0.0019221371125122072,0.001374590115258438,0.0008601059119999269,0.0013856110465901908,9,0.6923076923076923,0.12600000000000477,92.608,6.343999999999994,95.723,3.228999999999999,0
23,ALB,11.0,98.835,31.49,42.923,24.422,SOFT,11.0,1.0,1,False,True,1,2024,Bahrain Grand Prix,98.814,0.1533737265635837,0.001552145713801523,0.31861182779379776,0.4342894723529115,0.24709869985329086,0.0005169611387842701,0.0009440674936842056,0.0006922478983426839,0.00071775884360372,10,0.7692307692307693,0.009000000000000341,92.608,6.22699999999999,95.723,3.1119999999999948,0
23,ALB,12.0,98.934,31.51,43.065,24.359,SOFT,12.0,1.0,1,False,True,1,2024,Bahrain Grand Prix,98.8066,0.14454341908229776,0.0014628923481052657,0.3184951583884206,0.4352901934623082,0.24621464814927124,0.00044751887277959837,0.000648380250493649,0.0005860971749766873,0.0005606654327499782,11,0.8461538461538461,0.10800000000000409,92.608,6.325999999999993,95.723,3.2109999999999985,0
